ID,cityID,pet,rent,space,lat,lng,label,floor,unit,transport,twd97,food:avgcost,tag:pet,tag:transport,tag:capital,tag:home,tag:sport,tag:culture,tag:safe,tag:food
149,251,N,35000,53.42,25.1754176,121.4551443,住,1,655.1853238487457,1,"(295877.1301589837, 2785284.8790128725)",103.11111111111111,False,False,False,True,False,False,False,False
150,251,N,18000,58.0,25.190319,121.4305111,住,9,310.3448275862069,1,"(293388.8719814534, 2786927.2920244336)",0.0,False,False,False,True,False,False,False,False
151,251,N,23000,48.12,25.1891602,121.44240049999999,住,7,477.9717373233583,2,"(294587.5768531863, 2786802.8207072006)",232.5,False,False,False,True,False,False,False,False
152,241,N,26000,41.36,25.058878699999998,121.483448,住,12,628.6266924564796,3,"(298776.33147509035, 2772386.2607640033)",102.83333333333333,False,False,False,True,True,False,False,False
153,251,N,18000,31.97,25.186372,121.434547,住,16,563.0278385986862,2,"(293797.0445968726, 2786491.402971991)",0.0,False,False,False,True,False,False,False,False
154,251,N,16000,39.22,25.1785028,121.4549908,住,7,407.9551249362571,2,"(295860.5031245211, 2785626.564141278)",233.16666666666666,False,False,False,True,False,False,False,False
155,251,N,20000,49.11,25.1853517,121.4442254,住,13,407.2490327835472,2,"(294772.89473898406, 2786381.571256358)",215.33333333333334,False,False,False,True,False,False,False,False
156,251,N,13000,13.47,25.165969399999998,121.45898159999999,套,12,965.1076466221233,1,"(296267.489122594, 2784239.64622994)",0.0,False,True,False,False,True,True,True,False
157,251,N,24000,60.24,25.1785028,121.4549908,住,4,398.40637450199205,2,"(295860.5031245211, 2785626.564141278)",233.16666666666666,False,False,False,True,False,False,False,False
161,251,N,13000,41.75,25.1977186,121.42168500000001,住,10,311.377245508982,1,"(292496.7590458528, 2787744.105060217)",0.0,False,False,False,True,False,False,False,False
162,241,N,16000,21.08,25.051198499999998,121.48859709999999,住,1,759.0132827324478,3,"(299298.9179634383, 2771537.428221488)",148.44736842105263,False,False,False,True,True,False,False,False
163,241,N,16000,21.08,25.051198499999998,121.48859709999999,住,1,759.0132827324478,3,"(299298.9179634383, 2771537.428221488)",148.44736842105263,False,False,False,True,True,False,False,False
164,251,N,21000,27.26,25.1614245,121.45306289999999,住,7,770.3595011005135,2,"(295672.5411591221, 2783734.204267147)",198.4,False,False,False,True,False,False,False,False
166,244,N,18000,30.97,25.0765858,121.35704709999999,住,9,581.2076202776882,1,"(286018.1105608321, 2774307.954179917)",0.0,False,False,False,True,False,False,False,False
